,text,bounding_all,left_up_x,left_up_y,left_bot_x,left_bot_y,right_up_x,right_up_y,right_bot_x,right_bot_y,height_left,height_right
81,green,"[(6, 271), (34, 271), (34, 284), (6, 284)]",6,271,34,271,34,284,6,284,28,28
82,beans,"[(38, 271), (68, 271), (68, 284), (38, 284)]",38,271,68,271,68,284,38,284,30,30
83,",","[(68, 271), (71, 271), (71, 284), (68, 284)]",68,271,71,271,71,284,68,284,3,3
84,Mandarin,"[(75, 271), (130, 271), (130, 284), (75, 284)]",75,271,130,271,130,284,75,284,55,55
85,oranges,"[(134, 271), (173, 271), (173, 284), (134, 284)]",134,271,173,271,173,284,134,284,39,39
86,",","[(174, 271), (176, 271), (176, 284), (174, 284)]",174,271,176,271,176,284,174,284,2,2
87,roast,"[(182, 271), (208, 271), (208, 284), (182, 284)]",182,271,208,271,208,284,182,284,26,26
88,Virginia,"[(212, 271), (257, 271), (257, 284), (212, 284)]",212,271,257,271,257,284,212,284,45,45
89,peanuts,"[(260, 271), (300, 271), (300, 284), (260, 284)]",260,271,300,271,300,284,260,284,40,40
90,",","[(301, 271), (305, 271), (305, 284), (301, 284)]",301,271,305,271,305,284,301,284,4,4
91,soy,"[(7, 285), (24, 285), (24, 297), (7, 297)]",7,285,24,285,24,297,7,297,17,17
92,-,"[(23, 285), (28, 285), (28, 297), (23, 297)]",23,285,28,285,28,297,23,297,5,5
93,ginger,"[(28, 285), (62, 285), (62, 297), (28, 297)]",28,285,62,285,62,297,28,297,34,34
94,dressing,"[(65, 285), (107, 285), (107, 297), (65, 297)]",65,285,107,285,107,297,65,297,42,42
95,.......,"[(104, 285), (131, 285), (131, 297), (104, 297)]",104,285,131,285,131,297,104,297,27,27
96,www,"[(320, 290), (336, 290), (336, 294), (320, 294)]",320,290,336,290,336,294,320,294,16,16
97,.,"[(334, 290), (340, 290), (340, 294), (334, 294)]",334,290,340,290,340,294,334,294,6,6
98,.19,"[(356, 286), (370, 286), (370, 294), (356, 294)]",356,286,370,286,370,294,356,294,14,14
99,TE,"[(7, 315), (25, 315), (25, 324), (7, 324)]",7,315,25,315,25,324,7,324,18,18
100,CAESAR,"[(31, 315), (90, 315), (90, 324), (31, 324)]",31,315,90,315,90,324,31,324,59,59
101,hearts,"[(8, 328), (39, 328), (39, 341), (8, 341)]",8,328,39,328,39,341,8,341,31,31
102,of,"[(44, 328), (55, 328), (55, 341), (44, 341)]",44,328,55,328,55,341,44,341,11,11
103,romaine,"[(57, 328), (99, 328), (99, 341), (57, 341)]",57,328,99,328,99,341,57,341,42,42
104,",","[(100, 328), (102, 328), (102, 341), (100, 341)]",100,328,102,328,102,341,100,341,2,2
105,grilled,"[(107, 328), (141, 328), (141, 341), (107, 341)]",107,328,141,328,141,341,107,341,34,34
106,travesano,"[(147, 328), (194, 328), (194, 341), (147, 341)]",147,328,194,328,194,341,147,341,47,47
107,",","[(196, 328), (198, 328), (198, 341), (196, 341)]",196,328,198,328,198,341,196,341,2,2
108,anchovy,"[(204, 328), (245, 328), (245, 342), (204, 342)]",204,328,245,328,245,342,204,342,41,41
109,",","[(245, 329), (249, 329), (249, 342), (245, 342)]",245,329,249,329,249,342,245,342,4,4
110,garlic,"[(6, 344), (35, 344), (35, 358), (6, 358)]",6,344,35,344,35,358,6,358,29,29
111,parmesan,"[(40, 344), (89, 344), (89, 357), (40, 357)]",40,344,89,344,89,357,40,357,49,49
112,dressing,"[(95, 344), (137, 344), (137, 357), (95, 357)]",95,344,137,344,137,357,95,357,42,42
113,......,"[(135, 344), (203, 344), (203, 357), (135, 357)]",135,344,203,344,203,357,135,357,68,68
114,17,"[(363, 346), (373, 346), (373, 354), (363, 354)]",363,346,373,346,373,354,363,354,10,10
115,BABY,"[(8, 376), (47, 376), (47, 387), (8, 387)]",8,376,47,376,47,387,8,387,39,39
116,ARUGULA,"[(52, 376), (124, 376), (124, 387), (52, 387)]",52,376,124,376,124,387,52,387,72,72
117,&,"[(129, 376), (137, 376), (137, 387), (129, 387)]",129,376,137,376,137,387,129,387,8,8
118,BLACKBERRIES,"[(144, 376), (257, 376), (257, 387), (144, 387)]",144,376,257,376,257,387,144,387,113,113
119,sweet,"[(7, 390), (37, 390), (37, 403), (7, 403)]",7,390,37,390,37,403,7,403,30,30
120,curried,"[(40, 390), (77, 390), (77, 403), (40, 403)]",40,390,77,390,77,403,40,403,37,37
121,pecan,"[(80, 390), (109, 390), (109, 403), (80, 403)]",80,390,109,390,109,403,80,403,29,29
122,",","[(111, 390), (112, 390), (112, 403), (111, 403)]",111,390,112,390,112,403,111,403,1,1
123,avocado,"[(119, 390), (159, 390), (159, 403), (119, 403)]",119,390,159,390,159,403,119,403,40,40
124,",","[(161, 390), (162, 390), (162, 403), (161, 403)]",161,390,162,390,162,403,161,403,1,1
125,Bermuda,"[(169, 390), (217, 390), (217, 403), (169, 403)]",169,390,217,390,217,403,169,403,48,48
126,onion,"[(221, 390), (249, 390), (249, 403), (221, 403)]",221,390,249,390,249,403,221,403,28,28
127,",","[(250, 390), (253, 390), (253, 403), (250, 403)]",250,390,253,390,253,403,250,403,3,3
128,honey,"[(8, 404), (37, 404), (37, 417), (8, 417)]",8,404,37,404,37,417,8,417,29,29
129,-,"[(37, 404), (41, 404), (41, 417), (37, 417)]",37,404,41,404,41,417,37,417,4,4
130,sherry,"[(43, 404), (74, 404), (74, 417), (43, 417)]",43,404,74,404,74,417,43,417,31,31
131,vinaigrette,"[(78, 404), (131, 404), (131, 417), (78, 417)]",78,404,131,404,131,417,78,417,53,53
132,........,"[(128, 404), (158, 404), (158, 417), (128, 417)]",128,404,158,404,158,417,128,417,30,30
133,19,"[(362, 405), (373, 405), (373, 413), (362, 413)]",362,405,373,405,373,413,362,413,11,11
134,LOBSTER,"[(8, 435), (72, 435), (72, 445), (8, 445)]",8,435,72,435,72,445,8,445,64,64
135,COBB,"[(79, 435), (118, 435), (118, 445), (79, 445)]",79,435,118,435,118,445,79,445,39,39
136,SALAD,"[(124, 435), (171, 435), (171, 445), (124, 445)]",124,435,171,435,171,445,124,445,47,47
137,cucumber,"[(8, 447), (54, 447), (54, 459), (8, 459)]",8,447,54,447,54,459,8,459,46,46
138,",","[(53, 447), (56, 447), (56, 459), (53, 459)]",53,447,56,447,56,459,53,459,3,3
139,avocado,"[(60, 447), (99, 447), (99, 459), (60, 459)]",60,447,99,447,99,459,60,459,39,39
140,",","[(98, 447), (100, 447), (100, 459), (98, 459)]",98,447,100,447,100,459,98,459,2,2
141,tomato,"[(107, 447), (138, 447), (138, 459), (107, 459)]",107,447,138,447,138,459,107,459,31,31
